ID,Requirement,Status,Audit disposition
ATT-01,"Critical interruption is reserved for immediate physical, legal, financial, security, or comparably consequential danger.",Confirmed Phase 1,Audited v1.1: pass
ATT-02,"Needs Owner (canonical attention value) requests a response through badges, mentions, and queues without forcibly switching the foreground topic; the term ""Needs Attention"" is retired.",Amended v1.1,Audited v1.1: amended per consensus register
ATT-03,Successful background completion and useful non-blocking improvements appear as hub updates; safe retries and first overdue reminders default to briefing.,Confirmed Phase 1,Audited v1.1: pass
AUD-01,Phase 1 must pass independent multi-agent audit and owner-approved consensus before Decision Engine discovery begins.,Confirmed Phase 1,Audited v1.1: pass
AUD-02,Critical audit findings must be resolved; high-severity findings must be resolved or explicitly accepted with rationale.,Confirmed Phase 1,Audited v1.1: pass
AUD-03,"The system MUST run an owner-tunable scheduled, read-only structural self-audit using a versioned rubric with declared dimensions, weights, denominators, and missing-data treatment. The one-screen output MUST show the total score, 3–5 strengths, top-three leverage-ranked gaps, one concrete next step per gap, and evidence references for every deduction. Unknown or unavailable evidence MUST be shown separately from a zero score. Independent security, verification, and resilience controls may be summarized only from their authoritative evidence sources; the self-audit cannot self-attest that they passed. The score informs prioritization and review but does not independently pass a gate.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-03; trail 62)
AUT-01,Approval requirements are learned and configured by action class and scope.,Confirmed Phase 1,Audited v1.1: pass
AUT-02,"Automation expands through accumulated evidence and a reviewed policy topic, not silent adoption.",Confirmed Phase 1,Audited v1.1: pass
AUT-03,"Technical verification uses tests, independent review, security checks, staging, rollback, and plan comparison.",Confirmed Phase 1,Audited v1.1: pass
AUT-04,"Owner approvals focus on problem, process, business effect, outcome, and consequential risk.",Confirmed Phase 1,Audited v1.1: pass
AUT-05,Local child tasks may be created automatically within scope; cross-cutting or high-impact work escalates.,Confirmed Phase 1,Audited v1.1: pass
AUT-06,The owner may override recommendations when allowed; strong informational friction explains likely consequences before the override is accepted.,Confirmed Phase 1,Audited v1.1: pass
AUT-07,Delegation transfers execution but not accountability; the coordinator tracks the assignment through closeout.,Confirmed Phase 1,Audited v1.1: pass
AUT-08,"Delegation and follow-up policies are scoped by person, assignment type, sensitivity, and consequence.",Confirmed Phase 1,Audited v1.1: pass
AUT-09,"A completion claim resolves as verified completion, owner-accepted completion, or needs review.",Confirmed Phase 1,Audited v1.1: pass
AUT-10,Automatic verification begins as read-only evidence inspection; employee-facing corrective follow-up requires owner control unless a scoped policy authorizes it.,Confirmed Phase 1,Audited v1.1: pass
AUT-11,Completed work is reconciled against later evidence without erasing the original To-Did history.,Confirmed Phase 1,Audited v1.1: pass
AUT-12,"Each eligible automation class SHOULD progress toward the highest safe, evidence-supported, policy-authorized autonomy through a staged schedule: bounded low-volume full review → monitored autonomy → unsupervised execution where permitted. Advancement uses measured correction/reversal/failure outcomes, risk class, and calibrated confidence; raw model confidence alone is never an authority unlock. Stage durations are minimized when evidence supports advancement. Persistent owner approval or step-up remains valid where required by law, safety, sensitivity, irreversibility, owner judgment value, or insufficient evidence. Initial volume is a tunable pilot parameter, not a universal fixed ratio.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-11; trail 62)
BUS-01,The system both builds applications and operates the business through connected applications and data.,Confirmed Phase 1,Audited v1.1: pass
BUS-02,"Data HQ manages global connections, health, permissions, definitions, and cross-system data topics.",Confirmed Phase 1,Audited v1.1: pass
BUS-03,"Lead, ad, call, transcript, rating, insight, and improvement workflows form a closed operational loop.",Confirmed Phase 1,Audited v1.1: pass
BUS-04,MCP or equivalent access begins read-only and expands through scoped action policies.,Confirmed Phase 1,Audited v1.1: pass
BUS-05,Mailroom triages work and personal email separately while presenting both in the Executive Desk.,Confirmed Phase 1,Audited v1.1: pass
BUS-06,Business uses a hybrid organization: functional HQs provide cross-system views while major systems retain authoritative hubs.,Confirmed Phase 1,Audited v1.1: pass
BUS-07,Discord is the lightweight pilot and attention layer; purpose-built applications provide full structured workspaces and operational records.,Confirmed Phase 1,Audited v1.1: pass
BUS-08,"Business applications own operational facts; the AI operating system owns coordination, attention, assignments, decisions, and verification state.",Confirmed Phase 1,Audited v1.1: pass
BUS-09,Linked functional views do not create competing copies of source records.,Confirmed Phase 1,Audited v1.1: pass
BUS-10,"The operational database MUST own a connections registry for every configured or discoverable integration, including mechanism, scope, authentication-health state, last verified time, owning domain, applicable trust/data classes, tool/API version, and reference-document pointer. The registry and reference documents MUST contain no secret values. Versioned per-tool reference documents live in Git or controlled artifact storage, identify their source/version/capture date, and refresh when the tool or API materially changes. Connection freshness feeds Data HQ health and AUD-03; it does not replace the independent RES-02 coordinator-liveness watchdog.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-02; trail 62)
CAP-01,"Each activation stage declares maximum standing load (active work, queue sizes, aging limits, owner decision-minutes, spend, concurrency); expansion pauses when the system creates more administrative demand than it removes.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
CAP-02,"Success measures include the cost side (build/maintenance hours, spend, failure burden); every stage has a measurable gate with baseline comparison and an explicit stop/continue decision.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
CAP-03,"The system MUST produce token, usage, and cost telemetry from available local records and provider billing/usage sources as evidence for §18.1 and CAP-02. Every view MUST disclose provider/account coverage, date range, missing sources, and whether amounts are billed, estimated, or inferred. Collection parses usage metadata by default and MUST NOT ingest prompt/response content solely for cost calculation. The Stage-1 implementation may adopt or port the Herk token-dashboard where applicable, but the architecture remains multi-provider and source-replaceable.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-07; trail 62)
CAP-04,"Over a declared evaluation window, an automation whose measured total operating cost exceeds its measured total value MUST be flagged for retirement or redesign review at AUD-03. The comparison includes provider/tool spend, maintenance, failure burden, owner time, quality, risk reduction, and any mandatory or non-financial value. The flag does not automatically disable the automation. Safety, resilience, security, audit, and legally required controls are not retired solely because they are cost centers.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-12; trail 62)
COR-01,"Re-parent, merge, split, reclassify, promote/demote, duplicate-link, and archive exist as history-preserving coordinator operations behind a one-tap ""Wrong place"" gesture; corrections feed calibration as learning evidence.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
DAT-01,"Data classes define per-class rules for collection, storage, retention, model access, rendering, redaction, notification preview, export, and deletion.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
DAT-02,Restricted classes render in Discord as masked metadata plus an authenticated deep link by default; full rendering requires a scoped owner-approved policy; notification previews are stricter than in-channel views.,"Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
DEC-01,Decision Engine discovery is the Phase 2 parent topic and must separate intelligent recommendations from approved policy decisions as a hypothesis to test.,Confirmed Phase 1,Audited v1.1: pass
DEC-02,"Decision records classified as consequential under the applicable impact/risk policy MUST include a falsifier: evidence or conditions that would materially change or reverse the decision. When no meaningful falsifier is presently identifiable, the record may state `unknown` or `none identified` with rationale and a review trigger; the field MUST NOT force false precision.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-10; trail 62)
EX-01,Reception accepts unstructured input without prior classification.,Confirmed Phase 1,Audited v1.1: pass
EX-02,"The Executive Desk presents recent context, recent events, suggested next, and a full summary path.",Confirmed Phase 1,Audited v1.1: pass
EX-03,Business and Personal priority lists remain segregated inside one unified dashboard frame.,Confirmed Phase 1,Audited v1.1: pass
EX-04,One visible coordinator represents specialist agents and providers.,Confirmed Phase 1,Audited v1.1: pass
EX-05,The owner can operate interchangeably from phone and PC.,Confirmed Phase 1,Audited v1.1: pass
EX-06,Mobile and desktop render the same structured data differently; duplicated channels are not the default.,Confirmed Phase 1,Audited v1.1: pass
EX-07,"Progress is represented through verified stages, status, blockers, and next actions rather than narrative text alone.",Confirmed Phase 1,Audited v1.1: pass
EX-08,The owner receives layman-oriented consequences and click-by-click guidance when performing technical work.,Confirmed Phase 1,Audited v1.1: pass
EX-09,The interface uses compact breadcrumbs on coordinator messages and richer navigation on operational messages.,Confirmed Phase 1,Audited v1.1: pass
EX-10,"Every focused view provides direct routes to parent, children, related topics, prior location, and hub.",Confirmed Phase 1,Audited v1.1: pass
EX-11,"From any surface, the owner can retrieve any topic, task, decision, or artifact by free-text or semantic description, with match explanation, current location/status, and a direct link.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
GOV-01,"Standing program roles: Fable (architect/designer, project manager, integration owner, stage-gate approver), ChatGPT (independent verifier), Builder role currently assigned to Claude Opus 5 under APP-01 provider portability, Sonnet (reader/context librarian), and owner (final authority), with the boundaries of Manual §20A.1.","Accepted v1.1 (owner acceptance, trail entry 53); Amended v1.4 (CP-P2-A Item 0; trail entries 69/82)",Added by consensus register / verifier findings
GOV-02,"Every stage gate is judged on the eleven-item packet of Manual 20A.2; a stage passes only with implemented acceptance conditions, independent verification, Fable integration confirmation, and owner acceptance of owner-level decisions and residual risk.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
GOV-03,"Merge/deployment execution is performed by a controlled Release Executor or automated release service with narrowly scoped production credentials. It acts only on a pinned, approved release instruction; has no authority to change design, candidate content, review disposition, or evidence; uses protected-path and compare-and-swap controls; and emits tamper-evident execution receipts and resulting commit/artifact identifiers.","Accepted v1.2 (owner acceptance, trail entry 65)","Added by CP-v1.2-A Revision 2 (verifier 3.10, adopted verbatim)"
HW-01,"M4 Max Mac Studio remains the host baseline as an always-on orchestration body (not primary intelligence); purchase timing is an owner decision, revalidated at purchase. Status: Provisional.",Provisional (owner-timed purchase),Audited v1.1: amended per consensus register
IDN-01,Discord and all interface input are presentation-layer signals bound to an authenticated owner identity with device/session binding; the channel is never the authority.,"Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
IDN-02,Consequential action classes require risk-tiered step-up confirmation outside the ordinary interface action (passkey/biometric/protected web confirm); routine approvals remain one-tap.,"Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
IDN-03,"An independent kill/revoke control suspends write authority, delegation, and outbound actions; documented credential recovery and an emergency read-only mode exist; interface account hardening is a Stage 0/1 precondition.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
INT-01,"Decision prompts expose genuine tradeoffs, calibrate boundaries, or state an expert default; they do not use an obvious progressive-completeness ladder.",Confirmed Phase 1,Audited v1.1: pass
LOG-01,"An append-only, tamper-evident action log records identity events, recommendations, approvals, overrides, tool calls, external communications, writes, deployments, policy/registry changes, verification results, and corrections, with true actor/session identity and component versions.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
LOG-02,The central logger owns log writes; workers cannot edit or delete history; the log suffices to reconstruct an autonomous session end-to-end and feeds the hub Recent-log views.,"Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
LRN-01,Observations may be automatic but are weak evidence with no immediate operating effect.,Confirmed Phase 1,Audited v1.1: pass
LRN-02,"Preferences, rules, skills, and automation policies use the same governed topic workflow.",Confirmed Phase 1,Audited v1.1: pass
LRN-03,"Every preference, rule, skill, and policy declares scope.",Confirmed Phase 1,Audited v1.1: pass
LRN-04,The coordinator may propose a contextual exception or reopen a preference topic rather than silently violate a rule.,Confirmed Phase 1,Audited v1.1: pass
LRN-05,"Active, inactive, archived, and deleted states are supported; deletion is not the default.",Confirmed Phase 1,Audited v1.1: pass
LRN-06,Inactivity triggers review rather than automatic removal; 90 days is a provisional initial threshold.,Confirmed Phase 1,Audited v1.1: pass
LRN-07,Rejected ideas and owner rationale remain learning evidence.,Confirmed Phase 1,Audited v1.1: pass
LRN-08,Knowledge is organized by categories and subcategories while supporting semantic retrieval.,Confirmed Phase 1,Audited v1.1: pass
LRN-09,"Governed learning MUST offer an owner-tunable periodic improvement ritual that presents a system-prepared, bounded shortlist and ships **at most one** accepted improvement artifact per cycle. Zero artifacts is a valid outcome when no candidate has a named KPI, passes scope/impact review, or justifies machinery. Selection follows the smallest-machinery ladder (template → deterministic mechanism → one-AI-call skill → sub-agent last). Urgent security, reliability, or corrective work is not delayed by the one-artifact cap, and owner review time is measured under CAP-01.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-04; trail 62)
LRN-10,"When the same normalized manual task is observed in at least three distinct, verified occurrences within an owner-tunable window, the system MUST raise or update an automation-candidate observation for the next LRN-09 cycle. Retries, duplicate imports, repeated text, and untrusted external content do not independently count as occurrences. Threshold crossing remains weak evidence only and MUST NOT create an active automation, rule, skill, or policy without the governed topic workflow.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-09; trail 62)
MEM-01,"Operational state, Git artifacts, semantic knowledge, transcripts, and files have separate authoritative stores.",Confirmed Phase 1,Audited v1.1: pass
MEM-02,The topic checkpoint is the durable resumption record outside live model context.,Confirmed Phase 1,Audited v1.1: pass
MEM-03,Context compaction and worker replacement occur behind the same visible topic.,Confirmed Phase 1,Audited v1.1: pass
MEM-04,"The knowledge provider must support provenance, scope, relationships, usage, status, review, and export.",Confirmed Phase 1,Audited v1.1: pass
MEM-05,"Checkpoints refresh at stage transitions, recorded decisions, bounded work-unit completion, heartbeat intervals during active execution, and before consequential external actions.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
MEM-06,"Every active worker has a Worker Session record (identity, heartbeat, execution journal, last confirmed side effect); replacement workers reconcile checkpoint against branch and event log before continuing; divergence raises Needs Review.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
MEM-07,"Checkpoints separate protected fields (owner-approved objective, commitment, scope, decisions, acceptance criteria - changed only via Decision/fold-back events) from generated fields (versioned, source-linked, diffable, reversible); prior versions are preserved and changes emit audit events.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
MEM-08,"Any knowledge-memory provider satisfying MEM-04 remains a derived knowledge layer and MUST NOT become the canonical store for workflow state, approved decisions, rules, preferences, skills, automation policies, credentials, or action authority. Every retained knowledge claim MUST carry stable provenance and a resolvable source reference; unsupported claims are quarantined or flagged as unverified rather than treated as fact. Conflicting information creates a versioned `Disputed` record linked to the competing claims and enters governed resolution rather than silently overwriting either source. Admission, retention, model access, Business/Personal separation, export, and deletion obey DAT/TRS/PER policies. Provider selection and authorization of external data transfer require a separate gate.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-01; trail 62)
MEM-09,"Structured owner interviews MUST persist each answer at the moment it is given and resume from the persisted record after interruption; the persisted interview record — not conversational scrollback — is the source of truth and inherits data-class, provenance, versioning, correction, and protected/generated-field rules under §15.3.1.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-05; trail 62)
ONB-01,"Onboarding SHOULD provide one coordinated, bounded setup session for every **currently known** integration and permission request, with a default cap of seven owner questions and per-answer persistence under MEM-09. Credentials and grants MUST be entered only through a protected secret-management/onboarding surface; secret values MUST NOT appear in Discord, model context, interview records, repositories, or ordinary logs. Granted capabilities remain inactive until their §11A.7 gates pass. The system MUST avoid trickle requests for grants already known at onboarding, but credential expiry, revocation, rotation, recovery, new integrations, changed scope, and risk-tiered step-up MAY require later owner reauthorization; such requests are batched and explained whenever feasible.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-08; trail 62)
ORG-01,"The structure is an arbitrary-depth typed-role tree; Domain/HQ/Initiative/Topic/Group/Task are semantic roles, not fixed slots (Manual 6.1).",Amended v1.1,Audited v1.1: amended per consensus register
ORG-02,Every meaningful non-leaf object can act as a recursive hub; Tasks are leaves by default with a recorded promotion rule.,Amended v1.1,Audited v1.1: amended per consensus register
ORG-03,"Categories and subcategories coexist with hierarchy, stage, status, and focus.",Confirmed Phase 1,Audited v1.1: pass
ORG-04,To-do and to-did lists use a layered topic-plus-next-action format.,Confirmed Phase 1,Audited v1.1: pass
ORG-05,A hub with excessive unresolved children triggers housekeeping review.,Confirmed Phase 1,Audited v1.1: pass
ORG-06,"Employees use purpose-built applications, not the private owner operating environment.",Confirmed Phase 1,Audited v1.1: pass
ORG-07,"Before adding organizational structure, the coordinator SHOULD apply the three-question test — conceptually distinct? touched at least three times per month (owner-tunable)? future routing target? — as advisory coaching; two affirmative answers support adding, otherwise wait. Capture is never gated. Quarterly archive sweeps are scheduled through AUD-03.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-13; trail 62)
PER-01,Personal use remains a first-class domain rather than an afterthought.,Confirmed Phase 1,Audited v1.1: pass
PER-02,"Personal and Business memory, permissions, records, and priority queues remain separated.",Confirmed Phase 1,Audited v1.1: pass
PLAT-01,Discord is the preferred first interface because of familiarity and cross-device availability.,Confirmed Phase 1,Audited v1.1: pass
PLAT-02,Discord is not the sole database or source of truth.,Confirmed Phase 1,Audited v1.1: pass
PLAT-03,A companion dashboard is added only for demonstrated Discord limitations.,Confirmed Phase 1,Audited v1.1: pass
PLAT-04,"The operating model remains portable across Discord, model providers, memory providers, and host infrastructure.",Confirmed Phase 1,Audited v1.1: pass
QUE-01,"All system-generated review items flow through one governed queue with attention classification, caps, batching, aging, deduplication, snooze, and escalation; load measures are tracked.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
RES-01,All authoritative stores have automated versioned backups with periodic system-verified restore tests; backup success without restore proof does not satisfy this requirement.,"Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
RES-02,A watchdog independent of the host and Discord notifies the owner when the coordinator stops checking in; silence must always mean safe.,"Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
RES-03,"Degraded read-only access to current topics and checkpoints, export capability, and a documented recovery runbook exist before dependence grows.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
SCH-01,"Every persistent object, event, and checkpoint carries schema_version; migrations are versioned, validated, logged, and reversible, with backward-readable exports.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
SCH-02,"Every scheduled or cadence run MUST receive the smallest task-specific context sufficient for its objective **plus** a mandatory, versioned control envelope containing authenticated actor/authority, applicable trust and data classes, active scoped rules and automation policies, current checkpoint and schema versions, permitted tools/actions, failure and idempotency constraints, rollback/recovery requirements, and evidence/log destinations. The context pack and source manifest are hashed and time-bounded; missing, stale, or mismatched mandatory control context fails closed. The full workspace is not loaded by default.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-15; trail 62)
SEC-01,Security is a first-class requirement family; every activation stage declares and passes its applicable security gate before the capabilities it protects activate.,"Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
SEC-02,"An owner-voice profile MUST derive only from authentic, pre-existing owner-authored samples deliberately supplied or imported for that purpose; the system MUST refuse synthetic made-to-order samples and MUST provide no default or fallback person's voice. Samples and derived profiles receive a data class, provenance, access, retention, export, and deletion policy. Profile use, draft generation, draft approval, and external-send authority are separate action classes. Measured category-level correction rates may expand drafting/profile-use authority, beginning with per-draft approval, but MUST NOT by themselves authorize sending or bypass IDN/DAT/ACT/AUT controls. Every outbound artifact using the profile records the profile/version, drafting actor, approving authority/event, and applicable send policy; unlocks remain owner-visible and reversible.","Accepted v1.3 (owner acceptance, trail entry 73)",CP-v1.2-B (CPB-06; trail 62)
TRS-01,"Every input event carries origin, trust_class, instruction_authority, sensitivity_class, and verification_state.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
TRS-02,"External content is data to summarize, never instructions to follow, absent an explicit approved policy; agents processing untrusted content run with reduced tool scopes and isolated context, and untrusted content cannot directly trigger proposals or outbound actions.","Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
TRS-03,Trust class and provenance are first-order dimensions of the Phase 2 Decision Engine input schema.,"Accepted v1.1 (owner acceptance, trail entry 53)",Added by consensus register / verifier findings
WF-01,Topics persist while stage labels change; stages are state rather than separate locations.,Confirmed Phase 1,Audited v1.1: pass
WF-02,"Stages may skip, repeat, or move backward as understanding changes.",Confirmed Phase 1,Audited v1.1: pass
WF-03,"Stage, work_status, attention, focus (and derived health) are independent canonical dimensions (Manual 4.4).",Amended v1.1,Audited v1.1: amended per consensus register
WF-04,Every new topic receives a context-preserving kickoff record.,Confirmed Phase 1,Audited v1.1: pass
WF-05,Every completed child produces a closeout package and folds accepted outcomes into its parent.,Confirmed Phase 1,Audited v1.1: pass
WF-06,Blocking is advisory but explicit; an override requires a consequence summary and explicit acknowledgment for ordinary design work.,Confirmed Phase 1,Audited v1.1: pass
WF-07,"The system preserves pause, return, and impact state during focus switches.",Confirmed Phase 1,Audited v1.1: pass
WF-08,One topic is normally foreground while multiple topics may work in background or queue.,Confirmed Phase 1,Audited v1.1: pass
WF-09,"PROVISIONAL: interjection routing is modeled as independent dimensions (placement, relationship, blocking, disposition, attention, authority, confidence); the five-way set is a minimum example; final taxonomy assigned to Phase 2. **Resolved at v1.4 (CP-P2-A):** the taxonomy is fixed by D-B6 §2.4 — placement and relationship are model-proposed recommendations, blocking is deterministic derived, disposition and attention are function outputs (attention via D-B7's band function), authority is a function output and never model-writable, and confidence is model-proposed metadata that is displayable but never an authority input. All seven dimensions carry an authority class; none floats free.",Amended v1.1; Amended v1.4 (CP-P2-A; owner acceptance trail 116),Audited v1.1: amended per consensus register
WF-10,"When multiple classifications are genuinely valid, the system recommends one, presents meaningful alternatives, and records the owner selection.",Confirmed Phase 1,Audited v1.1: pass
WF-11,"The system requests rationale selectively when the owner chooses differently, then calibrates future recommendations.",Confirmed Phase 1,Audited v1.1: pass
WF-12,The coordinator manages protocol and housekeeping rather than relying on the owner to administer them.,Confirmed Phase 1,Audited v1.1: pass
